"","UID","Hg_ngg","Hg_mgkg","sample_type","date_collected","mass_w_bag","bag","mass","sex","age","reproductive.status"
"1","OK302",1682.861,1.682861,"fur","18-Jun-23",43,31,12,"female","subadult","lactating"
"2","OK307",736.155,0.736155,"fur","18-Jun-23",42,31,11,"female","adult","lactating"
"3","OK308",1763.529,1.763529,"fur","18-Jun-23",40,31,9,"female","adult","lactating"
"4","OK309",805.507,0.805507,"fur","18-Jun-23",40,30,10,"female","adult","lactating"
"5","OK317",1245.884,1.245884,"fur","18-Jun-23",41,30,11,"female","adult","pregnant"
"6","OK318",1177.23,1.17723,"fur","18-Jun-23",42,28,14,"female","adult","pregnant"
"7","OK319",834.702,0.834702,"fur","18-Jun-23",37,28,9,"female","adult","lactating"
"8","OK320",625.498,0.625498,"fur","18-Jun-23",40,30,10,"female","adult","lactating"
"9","OK322",1944.732,1.944732,"fur","18-Jun-23",NA,NA,NA,"female","adult","pregnant"
"10","OK324",2120.628,2.120628,"fur","18-Jun-23",45,31,14,"female","adult","pregnant"
"11","OK329",849.328,0.849328,"fur","18-Jun-23",44,30,14,"female","adult","pregnant"
"12","OK330",1683.609,1.683609,"fur","18-Jun-23",41,31,10,"female","adult","lactating"
"13","OK332",769.996,0.769996,"fur","19-Jun-23",43,31,12,"female","adult","lactating"
"14","OK334",1809.634,1.809634,"fur","19-Jun-23",42,29,13,"female","adult","lactating"
"15","OK335",1161.784,1.161784,"fur","19-Jun-23",44,30,14,"female","adult","pregnant"
"16","OK336",1227.698,1.227698,"fur","19-Jun-23",41,29,12,"female","adult","lactating"
"17","OK337",1156.549,1.156549,"fur","19-Jun-23",41,27,14,"female","adult","pregnant"
"18","OK338",1920.161,1.920161,"fur","19-Jun-23",41,30,11,"female","adult","pregnant"
"19","OK339",1802.056,1.802056,"fur","19-Jun-23",43,31,12,"female","adult","lactating"
"20","OK341",1364.947,1.364947,"fur","19-Jun-23",42,30,12,"female","adult","nonreproductive"
"21","OK342",1822.119,1.822119,"fur","19-Jun-23",43,30,13,"female","adult","lactating"
"22","OK343",1476.549,1.476549,"fur","19-Jun-23",43,31,12,"female","adult","lactating"
"23","OK344",865.712,0.865712,"fur","19-Jun-23",44,31,13,"female","adult","nonreproductive"
"24","OK346",1409.004,1.409004,"fur","19-Jun-23",48,32,16,"female","adult","pregnant"
"25","OK348",858.703,0.858703,"fur","19-Jun-23",42,30,12,"female","adult","nonreproductive"
"28","OK398",590.119,0.590119,"fur","18-Jul-23",41.5,29,12.5,"female","adult","lactating"
"29","OK399",431.59,0.43159,"fur","18-Jul-23",45,32.5,12.5,"female","adult","lactating"
"30","OK401",793.834,0.793834,"fur","18-Jul-23",39.5,30,9.5,"male","juvenile","nonreproductive"
"31","OK402",867.998,0.867998,"fur","18-Jul-23",39,30.5,8.5,"male","juvenile","nonreproductive"
"32","OK403",616.601,0.616601,"fur","18-Jul-23",43,32,11,"female","adult","lactating"
"33","OK404",1169.446,1.169446,"fur","18-Jul-23",43.5,31,12.5,"female","adult","postlactating"
